,UP,DOWN,FLAT
575,0.37200412,0.36914724,0.37395233
576,0.4103261,0.37902513,0.37867373
577,0.40640846,0.39314914,0.3981276
578,0.39137778,0.40050173,0.38142377
579,0.39596808,0.38022667,0.39130685
580,0.38430655,0.38828078,0.4211818
581,0.39234865,0.39700416,0.36727244
582,0.4090255,0.3727731,0.38818628
583,0.3758014,0.38090575,0.38816577
584,0.4020962,0.38905272,0.3878424
585,0.38674715,0.38506973,0.40024576
586,0.39323983,0.38208908,0.38533747
587,0.39513794,0.40019795,0.40324035
588,0.3856087,0.3796656,0.38473433
589,0.40747607,0.3962458,0.37938353
590,0.38075545,0.37643433,0.39668524
591,0.3877473,0.38799688,0.3853279
592,0.38111922,0.38022643,0.39691553
593,0.40060768,0.3822746,0.3782724
594,0.3803735,0.38484037,0.38224518
595,0.4035987,0.4296503,0.4089906
596,0.387498,0.40033865,0.38799837
597,0.38587645,0.39898497,0.3892182
598,0.39005348,0.39659053,0.39080748
599,0.42862847,0.37237367,0.3844626
600,0.39884427,0.38873896,0.396575
601,0.41037786,0.3942739,0.39293683
602,0.38315153,0.37787002,0.38366655
603,0.39277253,0.41326672,0.39818794
604,0.39278072,0.3941576,0.3922696
605,0.3783553,0.3780137,0.40535203
606,0.38165995,0.4016254,0.3868521
607,0.36320224,0.37446135,0.39016396
608,0.38669282,0.38615495,0.38754016
609,0.40653697,0.3832209,0.39569542
610,0.37466055,0.37293315,0.3834763
611,0.38859466,0.40728354,0.38677678
612,0.38090485,0.37935513,0.38853353
613,0.38474035,0.3793022,0.3941317
614,0.38822255,0.3787283,0.37958327
615,0.38426748,0.38533404,0.37939537
616,0.39355028,0.38527647,0.4049994
617,0.37145138,0.38613456,0.39638364
618,0.37900063,0.37134933,0.3728983
619,0.3944255,0.3823329,0.37716696
620,0.38077018,0.37287942,0.4096033
621,0.37803936,0.38601753,0.38441592
622,0.3836327,0.37962252,0.40173537
623,0.38378862,0.37247,0.37874052
624,0.40735272,0.3853685,0.41292349
625,0.39753523,0.36902764,0.39564764
626,0.38881376,0.3833703,0.39664987
627,0.38556537,0.3774732,0.395285
